City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port hardy,50.6996,-127.4199,7.1,70,75,5.66,CA,Mon Mar  6 17:32:47 2023
1,barrow,71.2906,-156.7887,-9.99,85,100,8.75,US,Mon Mar  6 17:31:24 2023
2,rio grande,-32.035,-52.0986,25.06,88,100,7.73,BR,Mon Mar  6 17:32:47 2023
3,bethel,41.3712,-73.414,9.87,31,0,5.66,US,Mon Mar  6 17:30:18 2023
4,la ronge,55.1001,-105.2842,-14.88,39,0,2.06,CA,Mon Mar  6 17:32:48 2023
5,albany,42.6001,-73.9662,5.23,49,77,4.79,US,Mon Mar  6 17:30:37 2023
6,cherskiy,68.75,161.3,-32.51,94,24,1.62,RU,Mon Mar  6 17:32:48 2023
7,port alfred,-33.5906,26.891,18.99,93,54,1.79,ZA,Mon Mar  6 17:32:48 2023
8,clyde river,70.4692,-68.5914,-11.87,85,20,2.06,CA,Mon Mar  6 17:32:49 2023
9,butaritari,3.0707,172.7902,27.0,78,81,5.15,KI,Mon Mar  6 17:30:00 2023
10,rikitea,-23.1203,-134.9692,26.95,77,100,10.12,PF,Mon Mar  6 17:32:49 2023
11,mataura,-46.1927,168.8643,14.71,43,99,1.6,NZ,Mon Mar  6 17:32:50 2023
12,ambilobe,-13.2,49.05,23.32,95,61,1.44,MG,Mon Mar  6 17:32:50 2023
13,dingle,10.9995,122.6711,23.42,89,4,3.84,PH,Mon Mar  6 17:32:41 2023
14,busselton,-33.65,115.3333,13.04,78,0,5.75,AU,Mon Mar  6 17:30:08 2023
15,jamestown,42.097,-79.2353,4.77,61,100,4.63,US,Mon Mar  6 17:22:57 2023
16,cape town,-33.9258,18.4232,18.95,76,20,10.29,ZA,Mon Mar  6 17:30:04 2023
17,ushuaia,-54.8,-68.3,9.79,76,75,7.72,AR,Mon Mar  6 17:32:51 2023
18,wadena,46.4425,-95.1361,2.86,51,0,5.14,US,Mon Mar  6 17:32:51 2023
19,kodiak,57.79,-152.4072,2.73,75,0,2.06,US,Mon Mar  6 17:29:24 2023
20,cairns,-16.9167,145.7667,26.73,97,75,1.54,AU,Mon Mar  6 17:32:52 2023
21,castro,-24.7911,-50.0119,18.4,91,95,1.85,BR,Mon Mar  6 17:25:27 2023
22,farah,32.5,62.5,16.16,31,0,0.15,AF,Mon Mar  6 17:32:52 2023
23,tsiroanomandidy,-18.7667,46.0333,19.54,96,93,1.94,MG,Mon Mar  6 17:32:53 2023
24,mpika,-11.8343,31.4529,15.86,97,94,0.6,ZM,Mon Mar  6 17:32:53 2023
25,honiara,-9.4333,159.95,29.73,65,86,1.04,SB,Mon Mar  6 17:32:53 2023
26,reading,51.4562,-0.9711,5.92,77,100,2.06,GB,Mon Mar  6 17:30:41 2023
27,kargasok,59.0556,80.8572,-2.27,89,100,8.28,RU,Mon Mar  6 17:32:54 2023
28,sanandaj,35.3144,46.9923,11.01,54,40,8.23,IR,Mon Mar  6 17:32:54 2023
29,nouakchott,18.0858,-15.9785,24.96,38,100,5.45,MR,Mon Mar  6 17:32:55 2023
30,ishigaki,24.3448,124.1572,19.07,55,100,4.12,JP,Mon Mar  6 17:32:55 2023
31,cabo san lucas,22.8909,-109.9124,26.45,38,0,6.17,MX,Mon Mar  6 17:31:02 2023
32,tasiilaq,65.6145,-37.6368,-5.91,77,96,1.42,GL,Mon Mar  6 17:32:55 2023
33,madawaska,47.3561,-68.3288,-1.83,76,100,9.77,US,Mon Mar  6 17:32:56 2023
34,ponta delgada,37.7333,-25.6667,17.4,88,75,8.75,PT,Mon Mar  6 17:31:55 2023
35,qaanaaq,77.484,-69.3632,-8.88,85,86,3.13,GL,Mon Mar  6 17:32:56 2023
36,henties bay,-22.116,14.2845,16.79,88,56,3.25,NA,Mon Mar  6 17:32:56 2023
37,vaitape,-16.5167,-151.75,25.58,80,100,6.36,PF,Mon Mar  6 17:32:57 2023
38,axim,4.8699,-2.2405,26.51,85,66,5.42,GH,Mon Mar  6 17:32:57 2023
39,dunedin,-45.8742,170.5036,16.56,67,100,1.79,NZ,Mon Mar  6 17:30:14 2023
40,kavieng,-2.5744,150.7967,27.46,75,98,0.66,PG,Mon Mar  6 17:32:57 2023
41,portland,45.5234,-122.6762,11.16,68,75,6.69,US,Mon Mar  6 17:20:07 2023
42,san patricio,28.017,-97.5169,30.4,62,76,6.98,US,Mon Mar  6 17:32:58 2023
43,tual,-5.6667,132.75,28.11,79,100,7.53,ID,Mon Mar  6 17:32:58 2023
44,salta,-24.7859,-65.4117,26.33,81,20,1.34,AR,Mon Mar  6 17:32:59 2023
45,kapaa,22.0752,-159.319,26.18,73,20,6.17,US,Mon Mar  6 17:32:59 2023
46,mahebourg,-20.4081,57.7,25.16,94,75,1.03,MU,Mon Mar  6 17:32:59 2023
47,hay river,60.8156,-115.7999,-15.01,47,20,4.12,CA,Mon Mar  6 17:33:00 2023
48,bredasdorp,-34.5322,20.0403,17.32,77,36,4.47,ZA,Mon Mar  6 17:33:00 2023
49,aswan,24.0934,32.907,23.61,23,0,4.12,EG,Mon Mar  6 17:33:00 2023
50,lichinga,-13.3128,35.2406,17.01,95,100,0.88,MZ,Mon Mar  6 17:33:00 2023
51,faanui,-16.4833,-151.75,25.58,80,100,6.25,PF,Mon Mar  6 17:33:01 2023
52,murchison,-41.8,172.3333,20.08,44,44,1.31,NZ,Mon Mar  6 17:33:01 2023
53,khatanga,71.9667,102.5,-31.52,100,99,1.87,RU,Mon Mar  6 17:30:54 2023
54,new norfolk,-42.7826,147.0587,14.95,63,70,2.68,AU,Mon Mar  6 17:33:02 2023
55,puerto ayora,-0.7393,-90.3518,27.98,91,93,2.68,EC,Mon Mar  6 17:31:59 2023
56,nouadhibou,20.931,-17.0347,22.99,49,20,7.2,MR,Mon Mar  6 17:33:02 2023
57,guerrero negro,27.9769,-114.0611,16.13,63,100,10.08,MX,Mon Mar  6 17:33:02 2023
58,mitu,1.1983,-70.1733,23.89,96,98,0.8,CO,Mon Mar  6 17:33:03 2023
59,winslow,35.0242,-110.6974,18.1,8,0,10.29,US,Mon Mar  6 17:33:03 2023
60,nikolskoye,59.7035,30.7861,-5.06,99,91,1.43,RU,Mon Mar  6 17:33:04 2023
61,vaini,-21.2,-175.2,28.09,69,40,3.6,TO,Mon Mar  6 17:30:37 2023
62,waddan,29.1614,16.139,14.51,31,30,3.75,LY,Mon Mar  6 17:33:04 2023
63,nelson bay,-32.7167,152.15,27.83,55,14,2.68,AU,Mon Mar  6 17:33:05 2023
64,linguere,15.3953,-15.1193,30.35,11,97,4.16,SN,Mon Mar  6 17:33:05 2023
65,thompson,55.7435,-97.8558,-16.91,55,20,4.12,CA,Mon Mar  6 17:30:49 2023
66,rawlins,41.7911,-107.2387,-3.69,80,100,5.14,US,Mon Mar  6 17:31:51 2023
67,trat,12.5,102.5,22.71,85,0,1.47,TH,Mon Mar  6 17:33:06 2023
68,talakan,50.3167,130.3667,-12.48,94,71,1.08,RU,Mon Mar  6 17:33:06 2023
69,carutapera,-1.195,-46.02,24.54,94,100,3.07,BR,Mon Mar  6 17:33:07 2023
70,victoria,22.2855,114.1577,18.51,59,5,2.68,HK,Mon Mar  6 17:30:48 2023
71,chokurdakh,70.6333,147.9167,-42.2,100,91,1.28,RU,Mon Mar  6 17:31:03 2023
72,nishihara,26.1842,127.7558,15.6,65,20,3.6,JP,Mon Mar  6 17:33:07 2023
73,iskateley,67.6803,53.1512,-28.15,97,84,1.45,RU,Mon Mar  6 17:33:08 2023
74,carnarvon,-24.8667,113.6333,24.95,70,0,8.08,AU,Mon Mar  6 17:33:08 2023
75,hofn,64.2539,-15.2082,-4.91,59,74,9.61,IS,Mon Mar  6 17:31:12 2023
76,punta arenas,-53.15,-70.9167,10.01,61,40,11.32,CL,Mon Mar  6 17:30:01 2023
77,kaitangata,-46.2817,169.8464,15.89,57,100,1.62,NZ,Mon Mar  6 17:33:09 2023
78,aklavik,68.2191,-135.0107,-23.0,70,0,1.03,CA,Mon Mar  6 17:30:07 2023
79,palmer,42.1584,-72.3287,7.75,25,40,6.17,US,Mon Mar  6 17:33:10 2023
80,ust-maya,60.4167,134.5333,-16.22,97,100,1.45,RU,Mon Mar  6 17:33:11 2023
81,georgetown,5.4112,100.3354,25.96,79,20,2.57,MY,Mon Mar  6 17:33:11 2023
82,tessalit,20.1986,1.0114,22.64,11,88,3.51,ML,Mon Mar  6 17:33:12 2023
83,hobart,-42.8794,147.3294,15.14,60,40,8.23,AU,Mon Mar  6 17:30:02 2023
84,atuona,-9.8,-139.0333,26.75,78,9,5.12,PF,Mon Mar  6 17:31:00 2023
85,tevaitoa,-16.7833,-151.5,25.57,81,100,7.85,PF,Mon Mar  6 17:33:13 2023
86,aktash,50.3,87.7333,-11.03,88,100,1.55,RU,Mon Mar  6 17:33:13 2023
87,yellowknife,62.456,-114.3525,-21.36,71,20,5.66,CA,Mon Mar  6 17:30:21 2023
88,raudeberg,61.9875,5.1352,-2.85,59,100,7.12,NO,Mon Mar  6 17:33:14 2023
89,saskylakh,71.9167,114.0833,-30.12,100,100,1.87,RU,Mon Mar  6 17:33:14 2023
90,smithers,54.7804,-127.1743,-8.82,45,75,1.54,CA,Mon Mar  6 17:30:20 2023
91,ponta do sol,32.6667,-17.1,20.0,92,89,2.84,PT,Mon Mar  6 17:33:15 2023
92,vallenar,-28.5708,-70.7581,24.09,49,0,2.55,CL,Mon Mar  6 17:33:16 2023
93,songadh,21.1667,73.5667,21.95,48,31,2.56,IN,Mon Mar  6 17:33:16 2023
94,estevan,49.1334,-102.9842,-11.81,61,0,5.14,CA,Mon Mar  6 17:33:17 2023
95,alofi,-19.0595,-169.9187,29.94,79,75,5.66,NU,Mon Mar  6 17:32:11 2023
96,ixtapa,20.7,-105.2,25.13,60,0,6.69,MX,Mon Mar  6 17:32:47 2023
97,upernavik,72.7868,-56.1549,-9.79,88,37,2.94,GL,Mon Mar  6 17:33:17 2023
98,bluff,-46.6,168.3333,14.89,57,100,3.58,NZ,Mon Mar  6 17:33:18 2023
99,araouane,18.9048,-3.5265,24.19,10,94,3.34,ML,Mon Mar  6 17:33:18 2023
100,mormugao,15.4,73.8,24.22,56,0,1.87,IN,Mon Mar  6 17:33:18 2023
101,ribeira grande,38.5167,-28.7,17.1,93,93,11.18,PT,Mon Mar  6 17:30:39 2023
102,santa maria,-29.6842,-53.8069,23.61,100,75,1.54,BR,Mon Mar  6 17:32:51 2023
103,bulgan,48.8125,103.5347,-3.65,65,18,0.6,MN,Mon Mar  6 17:33:19 2023
104,konotop,51.2403,33.2026,-1.46,60,72,3.52,UA,Mon Mar  6 17:33:19 2023
105,hami,42.8,93.45,7.25,36,4,3.14,CN,Mon Mar  6 17:33:20 2023
106,yershov,51.3513,48.2766,-7.39,90,72,3.29,RU,Mon Mar  6 17:33:20 2023
107,san carlos de bariloche,-41.1456,-71.3082,12.92,89,100,2.68,AR,Mon Mar  6 17:29:36 2023
108,caravelas,-17.7125,-39.2481,26.3,82,3,4.32,BR,Mon Mar  6 17:33:21 2023
109,erenhot,43.6475,111.9767,3.56,36,43,6.32,CN,Mon Mar  6 17:33:21 2023
110,nanortalik,60.1432,-45.2371,-1.69,85,13,1.45,GL,Mon Mar  6 17:33:22 2023
111,roshchino,60.2519,29.6085,-8.27,98,99,0.95,RU,Mon Mar  6 17:33:22 2023
112,hilo,19.7297,-155.09,27.93,72,0,3.6,US,Mon Mar  6 17:33:22 2023
113,van buren,35.4368,-94.3483,27.01,41,0,4.12,US,Mon Mar  6 17:33:15 2023
114,muisne,0.6,-80.0333,25.28,88,100,3.76,EC,Mon Mar  6 17:33:23 2023
115,nieuwpoort,51.1244,2.7735,6.16,93,100,9.26,BE,Mon Mar  6 17:33:23 2023
116,ilo,-17.6394,-71.3375,23.66,79,7,1.97,PE,Mon Mar  6 17:33:24 2023
117,manjacaze,-24.7117,33.8828,21.43,93,1,2.36,MZ,Mon Mar  6 17:33:24 2023
118,lorengau,-2.0226,147.2712,26.55,81,96,3.24,PG,Mon Mar  6 17:30:18 2023
119,gisborne,-38.6533,178.0042,17.93,50,3,3.48,NZ,Mon Mar  6 17:32:51 2023
120,cidreira,-30.1811,-50.2056,23.68,91,99,5.81,BR,Mon Mar  6 17:33:25 2023
121,lekoni,-1.5843,14.2591,25.18,84,100,0.62,GA,Mon Mar  6 17:33:25 2023
122,dicabisagan,17.0818,122.4157,20.63,83,53,2.99,PH,Mon Mar  6 17:33:26 2023
123,east london,-33.0153,27.9116,21.2,76,86,5.62,ZA,Mon Mar  6 17:32:58 2023
124,sobolevo,54.4299,31.8996,-9.16,89,79,3.47,RU,Mon Mar  6 17:33:26 2023
125,santa rosa,14.3122,121.1114,22.99,85,0,3.68,PH,Mon Mar  6 17:29:12 2023
126,calvinia,-31.4707,19.776,17.56,63,2,7.97,ZA,Mon Mar  6 17:33:26 2023
127,grand gaube,-20.0064,57.6608,25.22,87,99,0.89,MU,Mon Mar  6 17:33:27 2023
128,port-gentil,-0.7193,8.7815,26.98,89,40,2.57,GA,Mon Mar  6 17:33:27 2023
129,hobbs,32.7026,-103.136,28.23,5,0,6.17,US,Mon Mar  6 17:29:35 2023
130,hermanus,-34.4187,19.2345,18.78,80,27,6.62,ZA,Mon Mar  6 17:33:28 2023
131,sao joao da barra,-21.6403,-41.0511,26.05,88,100,7.9,BR,Mon Mar  6 17:32:14 2023
132,indian head,38.6001,-77.1622,16.67,42,0,1.79,US,Mon Mar  6 17:33:29 2023
133,tsogni,-2.7942,10.0988,25.83,86,100,2.28,GA,Mon Mar  6 17:33:29 2023
134,eselnita,44.6992,22.3622,6.72,77,96,1.42,RO,Mon Mar  6 17:33:29 2023
135,mount isa,-20.7333,139.5,22.87,100,100,5.66,AU,Mon Mar  6 17:33:30 2023
136,praia,14.9215,-23.5087,23.3,60,20,5.66,CV,Mon Mar  6 17:33:30 2023
137,bubaque,11.2833,-15.8333,25.04,68,100,6.95,GW,Mon Mar  6 17:33:31 2023
138,nizwa,22.9333,57.5333,21.19,33,30,1.44,OM,Mon Mar  6 17:33:31 2023
139,alakurtti,66.9672,30.3491,-19.08,100,100,1.32,RU,Mon Mar  6 17:33:32 2023
140,longyearbyen,78.2186,15.6401,-15.09,43,40,8.23,SJ,Mon Mar  6 17:33:32 2023
141,hasaki,35.7333,140.8333,6.23,72,0,2.9,JP,Mon Mar  6 17:33:33 2023
142,urucui,-7.2294,-44.5561,27.86,70,86,2.27,BR,Mon Mar  6 17:33:33 2023
143,coahuayana,18.7333,-103.6833,27.97,54,48,3.27,MX,Mon Mar  6 17:33:33 2023
144,bengkulu,-3.8004,102.2655,23.07,90,76,1.74,ID,Mon Mar  6 17:33:34 2023
145,abdanan,32.9926,47.4198,15.24,72,100,1.32,IR,Mon Mar  6 17:33:34 2023
146,ratnagiri,16.9833,73.3,24.88,48,33,3.15,IN,Mon Mar  6 17:33:34 2023
147,ilebo,-4.3167,20.5833,21.77,99,79,1.8,CD,Mon Mar  6 17:33:35 2023
148,coroico,-16.1889,-67.7271,19.45,87,86,0.62,BO,Mon Mar  6 17:33:35 2023
149,shieli,44.1667,66.75,12.26,66,100,7.17,KZ,Mon Mar  6 17:33:36 2023
150,ostrovnoy,68.0531,39.5131,-12.77,90,100,4.61,RU,Mon Mar  6 17:33:36 2023
151,yar-sale,66.8333,70.8333,-23.32,90,100,5.12,RU,Mon Mar  6 17:33:36 2023
152,airai,-8.9266,125.4092,17.09,84,96,0.81,TL,Mon Mar  6 17:30:36 2023
153,torbay,47.6666,-52.7314,-0.96,88,75,2.06,CA,Mon Mar  6 17:30:49 2023
154,talcahuano,-36.7167,-73.1167,16.82,88,75,3.6,CL,Mon Mar  6 17:30:43 2023
155,vagur,61.4732,-6.8119,0.35,58,100,13.91,FO,Mon Mar  6 17:33:37 2023
156,ojhar,20.1,73.9333,19.01,68,75,2.3,IN,Mon Mar  6 17:33:37 2023
157,mozelos,41.8677,-8.3978,13.27,96,100,1.71,PT,Mon Mar  6 17:33:38 2023
158,darnah,32.767,22.6367,13.65,68,31,1.98,LY,Mon Mar  6 17:33:38 2023
159,arraial do cabo,-22.9661,-42.0278,24.98,83,0,5.14,BR,Mon Mar  6 17:30:16 2023
160,port blair,11.6667,92.75,25.25,77,0,3.52,IN,Mon Mar  6 17:33:08 2023
161,vestmannaeyjar,63.4427,-20.2734,-3.57,55,98,3.61,IS,Mon Mar  6 17:33:38 2023
162,gornyak,50.9942,81.4661,-0.64,90,100,5.03,RU,Mon Mar  6 17:33:39 2023
163,xinyu,27.8043,114.9334,14.67,50,46,1.0,CN,Mon Mar  6 17:33:39 2023
164,zhoucheng,35.9122,116.3117,11.37,65,0,2.57,CN,Mon Mar  6 17:33:40 2023
165,tutoia,-2.7619,-42.2744,26.81,83,99,6.29,BR,Mon Mar  6 17:33:40 2023
166,nanakuli,21.3906,-158.1547,26.04,60,40,6.17,US,Mon Mar  6 17:33:40 2023
167,avarua,-21.2078,-159.775,31.03,74,40,8.75,CK,Mon Mar  6 17:33:41 2023
168,san vicente,-26.6167,-54.1333,23.91,63,47,2.43,AR,Mon Mar  6 17:33:41 2023
169,chuy,-33.6971,-53.4616,21.22,84,68,3.81,UY,Mon Mar  6 17:33:41 2023
170,saint anthony,45.0205,-93.218,2.92,81,100,6.69,US,Mon Mar  6 17:33:42 2023
171,cockburn town,21.4612,-71.1419,24.72,65,8,5.15,TC,Mon Mar  6 17:33:42 2023
172,san cristobal,7.7669,-72.225,25.74,67,83,0.33,VE,Mon Mar  6 17:33:43 2023
173,kota bahru,6.1333,102.2386,23.97,83,20,1.03,MY,Mon Mar  6 17:33:43 2023
174,constitucion,-35.3333,-72.4167,15.79,87,43,4.09,CL,Mon Mar  6 17:33:11 2023
175,tottori,35.5,134.2333,4.04,70,0,5.66,JP,Mon Mar  6 17:33:43 2023
176,lakatoro,-16.0999,167.4164,29.01,69,16,0.44,VU,Mon Mar  6 17:33:44 2023
177,abu samrah,35.3029,37.1841,10.17,74,1,6.89,SY,Mon Mar  6 17:33:44 2023
178,kununurra,-15.7667,128.7333,26.99,69,73,3.09,AU,Mon Mar  6 17:33:45 2023
179,vao,-22.6667,167.4833,25.1,61,26,5.59,NC,Mon Mar  6 17:33:45 2023
180,richards bay,-28.783,32.0377,22.76,92,100,2.62,ZA,Mon Mar  6 17:33:45 2023
181,hithadhoo,-0.6,73.0833,27.52,69,1,1.06,MV,Mon Mar  6 17:33:46 2023
182,vila franca do campo,37.7167,-25.4333,17.23,95,89,9.4,PT,Mon Mar  6 17:33:46 2023
183,boa vista,2.8197,-60.6733,29.99,51,40,4.63,BR,Mon Mar  6 17:27:21 2023
184,flinders,-34.5833,150.8552,26.7,48,60,4.02,AU,Mon Mar  6 17:33:46 2023
185,coihaique,-45.5752,-72.0662,10.34,76,75,3.09,CL,Mon Mar  6 17:33:47 2023
186,tura,25.5198,90.2201,18.19,30,0,1.02,IN,Mon Mar  6 17:33:47 2023
187,lusambo,-4.9667,23.45,21.4,99,97,1.35,CD,Mon Mar  6 17:33:48 2023
188,mount gambier,-37.8333,140.7667,14.5,64,95,5.61,AU,Mon Mar  6 17:33:48 2023
189,tigil,57.8,158.6667,-11.83,94,100,2.74,RU,Mon Mar  6 17:33:48 2023
190,norman wells,65.282,-126.8329,-20.98,65,75,1.54,CA,Mon Mar  6 17:31:16 2023
191,alanya,36.5438,31.9998,10.07,62,0,1.94,TR,Mon Mar  6 17:33:49 2023
192,husavik,66.0449,-17.3389,-5.34,67,100,5.27,IS,Mon Mar  6 17:33:49 2023
